epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,44,290.85107421875,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,42297.1796875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006988862529397011
,0.001,0.0001,0.01,0.001,45,,,,,,,,,,,,,,,,,,,
0,,,,,45,295.59588623046875,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,43688.4609375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007750488817691803
,0.001,0.0001,0.01,0.001,46,,,,,,,,,,,,,,,,,,,
0,,,,,46,85.21781921386719,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,3631.038330078125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006967339664697647
,0.001,0.0001,0.01,0.001,47,,,,,,,,,,,,,,,,,,,
0,,,,,47,10.599021911621094,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,56.16963195800781,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006439942866563797
,0.001,0.0001,0.01,0.001,48,,,,,,,,,,,,,,,,,,,
0,,,,,48,218.47650146484375,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,23865.990234375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006539918482303619
,0.001,0.0001,0.01,0.001,49,,,,,,,,,,,,,,,,,,,
0,,,,,49,228.87527465820312,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,26191.9453125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006306702271103859
,0.001,0.0001,0.01,0.001,50,,,,,,,,,,,,,,,,,,,
0,,,,,50,338.8889465332031,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,57422.859375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006945814471691847
,0.001,0.0001,0.01,0.001,51,,,,,,,,,,,,,,,,,,,
0,,,,,51,388.6580810546875,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,75527.546875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006948255002498627
,0.001,0.0001,0.01,0.001,52,,,,,,,,,,,,,,,,,,,
0,,,,,52,261.05718994140625,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,34075.4296875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00514731090515852
,0.001,0.0001,0.01,0.001,53,,,,,,,,,,,,,,,,,,,
0,,,,,53,270.9029541015625,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,36694.203125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005468246527016163
,0.001,0.0001,0.01,0.001,54,,,,,,,,,,,,,,,,,,,
0,,,,,54,120.81324005126953,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,7297.919921875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005890329368412495
,0.001,0.0001,0.01,0.001,55,,,,,,,,,,,,,,,,,,,
0,,,,,55,203.09938049316406,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,20624.6796875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00641433522105217
,0.001,0.0001,0.01,0.001,56,,,,,,,,,,,,,,,,,,,
0,,,,,56,257.9648132324219,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,33272.92578125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006484345532953739
,0.001,0.0001,0.01,0.001,57,,,,,,,,,,,,,,,,,,,
0,,,,,57,257.5436706542969,10.351962089538574,0.012097802013158798,0.0037306598387658596,53.581565856933594,33164.37109375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005631446838378906
,0.001,0.0001,0.01,0.001,58,,,,,,,,,,,,,,,,,,,
