epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,30,162.85914611816406,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,13261.5517578125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005767785012722015
,0.001,0.0001,0.01,0.001,31,,,,,,,,,,,,,,,,,,,
0,,,,,31,553.1919555664062,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,153010.65625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009974459186196327
,0.001,0.0001,0.01,0.001,32,,,,,,,,,,,,,,,,,,,
0,,,,,32,121.20146942138672,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,7344.8984375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004522540606558323
,0.001,0.0001,0.01,0.001,33,,,,,,,,,,,,,,,,,,,
0,,,,,33,250.36512756347656,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,31341.349609375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004997085779905319
,0.001,0.0001,0.01,0.001,34,,,,,,,,,,,,,,,,,,,
0,,,,,34,69.1233139038086,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,2389.016357421875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005831029266119003
,0.001,0.0001,0.01,0.001,35,,,,,,,,,,,,,,,,,,,
0,,,,,35,42.98365783691406,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,923.79736328125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004560183733701706
,0.001,0.0001,0.01,0.001,36,,,,,,,,,,,,,,,,,,,
0,,,,,36,235.0554656982422,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,27625.537109375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005708265118300915
,0.001,0.0001,0.01,0.001,37,,,,,,,,,,,,,,,,,,,
0,,,,,37,465.58349609375,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,108384.0,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009045134298503399
,0.001,0.0001,0.01,0.001,38,,,,,,,,,,,,,,,,,,,
0,,,,,38,528.900146484375,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,139867.671875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009059278294444084
,0.001,0.0001,0.01,0.001,39,,,,,,,,,,,,,,,,,,,
0,,,,,39,158.52740478515625,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,12565.46875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006093141622841358
,0.001,0.0001,0.01,0.001,40,,,,,,,,,,,,,,,,,,,
0,,,,,40,44.91826248168945,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,1008.8251953125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00633211899548769
,0.001,0.0001,0.01,0.001,41,,,,,,,,,,,,,,,,,,,
0,,,,,41,141.6044921875,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,10025.916015625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004478584975004196
,0.001,0.0001,0.01,0.001,42,,,,,,,,,,,,,,,,,,,
0,,,,,42,99.31781768798828,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,4932.013671875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008538452908396721
,0.001,0.0001,0.01,0.001,43,,,,,,,,,,,,,,,,,,,
0,,,,,43,98.64167022705078,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,4865.08935546875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005587865598499775
,0.001,0.0001,0.01,0.001,44,,,,,,,,,,,,,,,,,,,
0,,,,,44,578.7296142578125,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,167463.96875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008504785597324371
,0.001,0.0001,0.01,0.001,45,,,,,,,,,,,,,,,,,,,
0,,,,,45,245.3712615966797,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,30103.525390625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00808914378285408
,0.001,0.0001,0.01,0.001,46,,,,,,,,,,,,,,,,,,,
0,,,,,46,133.4866485595703,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,8909.341796875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008286643773317337
,0.001,0.0001,0.01,0.001,47,,,,,,,,,,,,,,,,,,,
0,,,,,47,12.854815483093262,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,82.62313842773438,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006528683938086033
,0.001,0.0001,0.01,0.001,48,,,,,,,,,,,,,,,,,,,
